ID	GeneSymbol	mRNA_Accession	adj.P.Val	P.Value	t	B	logFC	Gene.title
10582549	Mela	U63133	0.00000481	1.35E-10	6.33E+01	12.6791	6.42	melanoma antigen
10548430	Gm156	NM_001014997	0.00001097	7.03E-10	4.95E+01	12.01166	5.48	predicted gene 156
10420274	Gzmd	NM_010372	0.00001097	9.26E-10	4.75E+01	11.87886	7.08	granzyme D
10501586	S1pr1	NM_007901	0.0000135	1.52E-09	-4.41E+01	11.62432	-5.17	sphingosine-1-phosphate receptor 1
10536499	Cav1	NM_001243064	0.00003088	5.96E-09	3.60E+01	10.81406	4.44	"caveolin 1, caveolae protein"
10420295	Gzmf	NM_010374	0.00003088	6.55E-09	3.55E+01	10.75144	7.63	granzyme F
10460968	Rasgrp2	NM_011242	0.00003088	6.69E-09	-3.54E+01	10.73821	-3.81	"RAS, guanyl releasing protein 2"
10539135	Capg	NM_001042534	0.00003088	7.07E-09	3.51E+01	10.70124	4.09	"capping protein (actin filament), gelsolin-like"
10388254	Aspa	NM_023113	0.00003088	7.82E-09	3.46E+01	10.63421	3.63	aspartoacylase
10592330	Nrgn	NM_022029	0.00003183	8.95E-09	3.39E+01	10.54199	3.8	neurogranin
10535559	Baiap2l1	NM_025833	0.00003404	1.05E-08	3.31E+01	10.42978	4.94	BAI1-associated protein 2-like 1
10523717	Spp1	NM_001204201	0.00003954	1.48E-08	3.14E+01	10.18562	6.81	secreted phosphoprotein 1
10510580	Tnfrsf9	NM_001077508	0.00003954	1.51E-08	3.13E+01	10.17262	4.78	"tumor necrosis factor receptor superfamily, member 9"
10389190	Heatr9	NM_001045543	0.00003954	1.56E-08	-3.12E+01	10.15089	-3.3	HEAT repeat containing 9
10608724		10608724	0.00004184	1.77E-08	3.06E+01	10.05876	4.19	
10569485	Tnfrsf26	NM_175649	0.00004214	1.90E-08	-3.03E+01	10.00565	-3.11	"tumor necrosis factor receptor superfamily, member 26"
10534862	Pcolce	NM_008788	0.00004602	2.44E-08	2.92E+01	9.81671	4.88	procollagen C-endopeptidase enhancer protein
10351691	Slamf6	NM_030710	0.00004602	2.81E-08	-2.86E+01	9.70775	-4.41	SLAM family member 6
