	GeneSymbol_GSM2386506_Kupper.txt	mRNA_Accession_GSM2386506_Kupper.txt	adj.P.Val_GSM2386506_Kupper.txt	logFC_GSM2386506_Kupper.txt	GeneSymbol_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	mRNA_Accession_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	adj.P.Val_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	logFC_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	GeneSymbol_GSE79858_Slansky_TIL_v_TN.txt	mRNA_Accession_GSE79858_Slansky_TIL_v_TN.txt	adj.P.Val_GSE79858_Slansky_TIL_v_TN.txt	logFC_GSE79858_Slansky_TIL_v_TN.txt	GeneSymbol_GSE_Anderson_TIL_v_Naive.txt	mRNA_Accession_GSE_Anderson_TIL_v_Naive.txt	adj.P.Val_GSE_Anderson_TIL_v_Naive.txt	logFC_GSE_Anderson_TIL_v_Naive.txt
0	0610005C13Rik	NR_038166	0.8534	-0.12081367									0610005C13Rik	NR_038165	0.792	-0.0630105
1	0610007C21Rik	NM_027855	0.6331	0.29035967												
2	0610007L01Rik	NM_027854	0.9048	0.11954933												
3	0610007N19Rik	NR_038186	0.4429	0.54300967												
4	0610007P08Rik	NM_001013608	0.6940000000000001	-0.29180567												
5	0610007P14Rik	NM_021446	0.9545	-0.08954233	0610007P14Rik	NM_021446	0.43028299999999997	-1.06239436	0610007P14Rik	NM_021446	0.0296884	0.973	0610007P14Rik	NM_021446	0.0292	0.8336610000000001
6	0610007P22Rik	NM_026676	0.958	-0.05697367												
7	0610008F07Rik	BC025862	0.4944	0.33992033												
8	0610009B14Rik	NR_037995	0.9351	0.092013												
9	0610009B22Rik	BC024353	0.9759	0.08280633	0610009B22Rik	NM_025319	0.680325	0.42329213	0610009B22Rik	NM_025319	0.00267613	1.43	0610009B22Rik	NM_025319	0.792	0.21772289999999997
10	0610009D07Rik	NM_025323	0.6401	-0.28587833												
11	0610009E02Rik	BC023886	0.9209	-0.19680467												
12	0610009L18Rik	NR_038126	0.8914	0.155382	0610009L18Rik	NR_038126	0.983132	-0.02324453	0610009L18Rik	NR_038126	0.09749952	-0.363	0610009L18Rik	NR_038126	0.29	0.2542513
13	0610009O20Rik	NM_024179	0.6501	-0.25851967	0610009O20Rik	AK141675	0.583531	-0.35571139	0610009O20Rik	AK141675	0.02394254	0.46299999999999997	0610009O20Rik	NM_024179	0.00731	-1.7581333499999998
14	0610010B08Rik	NM_001177543	0.5934000000000001	-0.374874598	0610010B08Rik	NM_001099327	0.6523782	0.367777106	0610010B08Rik	NM_001099327	0.009485149999999998	0.9448666666666666	0610010B08Rik	NM_001099349	0.5858964999999999	0.6640385000000001
15	0610010F05Rik	NM_027860	0.6911	0.22259333	0610010F05Rik	NM_027860	0.653157	0.63059808	0610010F05Rik	NM_027860	0.00079705	1.25	0610010F05Rik	NM_027860	0.028265000000000002	2.13346005
16	0610010K14Rik	NM_001177601	0.3579	-0.97702067	0610010K14Rik	NM_001177601	0.7025819999999999	-0.59488965	0610010K14Rik	NM_001177601	0.04587315	0.527	0610010K14Rik	NM_001177601	0.0042699999999999995	1.7742588000000001
17	0610010O12Rik	NM_001081365	0.9794	0.027233												
18	0610011F06Rik	NM_026686	0.3778	-0.66187833	0610011F06Rik	NM_026686	0.875862	0.20934069	0610011F06Rik	NM_026686	0.85013602	-0.0633	0610011F06Rik	NM_026686	0.47050000000000003	0.03410209999999998
19	0610011L14Rik	NM_001164818	0.9132	-0.219469												
20	0610012G03Rik	NR_027897	0.7889	-0.23229067	0610012G03Rik	NR_027897	0.8775950000000001	-0.19838244	0610012G03Rik	NR_027897	0.91359004	-0.03	0610012G03Rik	NM_025320	0.11271333333333333	0.7674688000000001
21	0610012H03Rik	NM_028747	0.8892	0.09196867												
22	0610030E20Rik	NM_026696	0.35265	-0.783666	0610030E20Rik	NM_026696	0.258235	-0.63486722	0610030E20Rik	NM_026696	0.93591523	-0.0233	0610030E20Rik	NM_026696	0.0039595	-2.2502807000000002
23	0610031J06Rik	NM_020003	0.9678	-0.07175167												
24	0610031O16Rik	NR_045760	0.7403	-0.17902867												
25	0610037L13Rik	BC019215	0.3676	-0.79018467	0610037L13Rik	XM_006503438	0.964465	-0.06992796	0610037L13Rik	XM_006503438	0.88492016	0.0267	0610037L13Rik	NM_028754	0.37242	-0.34962908000000004
26	0610037P05Rik	ENSMUST00000023357	0.3596	-0.83268833												
27	0610038B21Rik	NR_028125	0.8595	0.16124967	0610038B21Rik	NR_028125	0.899284	0.27663345	0610038B21Rik	NR_028125	0.11052182	-0.53	0610038B21Rik	NR_028125	0.24100000000000002	-0.3586917
28	0610038L08Rik	NR_045447	0.16899999999999998	-1.63447933												
29	0610039K10Rik	NR_028113	0.6858	0.30381433	0610039K10Rik	NR_028113	0.870025	-0.10472972	0610039K10Rik	NR_028113	0.9422315999999998	0.0267	0610039K10Rik	NR_028113	0.386	-0.3471378
30	0610040B10Rik	NR_027874	0.2416	-0.66181433	0610040B10Rik	AK144491	0.8907959999999999	0.20261284	0610040B10Rik	AK144491	0.01828061	-0.897	0610040B10Rik	NR_027874	0.1915	0.6792544
31	0610040F04Rik	NR_040757	0.9954	-0.00611567									0610040F04Rik	NR_040757	0.856	0.0445772
32	0610040J01Rik	BC004797	0.9075	-0.11294633	0610040J01Rik	NM_029554	0.946716	-0.03836199	0610040J01Rik	NM_029554	0.8903488000000002	-0.0233	0610040J01Rik	NM_029554	0.0845	-0.9206581
33	0610043K17Rik	NR_040640	0.0808	-1.56091833												
34	0910001L09Rik	NM_001081108	0.7533	-0.52495633												
35	100043387	NM_001099327	0.42755	-0.696461												
36	1010001B22Rik	AK003103	0.9877	-0.01257367									1010001B22Rik	AW987535	0.496	-0.1908582
37	1010001N08Rik	AK033147	0.8157	0.14743233												
38	1100001G20Rik	NM_183249	0.9558	-0.13529433												
39	1110001J03Rik	NM_025363	0.4518	-0.935073												
40	1110002B05Rik	NM_134054	0.8266	-0.4254												
41	1110002E22Rik	AK003290	0.9933	-0.00728633									1110002E22Rik	XM_001473061	0.5249999999999999	-0.05894304999999999
42	1110002J07Rik	AK137587	0.71	0.337523												
43	1110002L01Rik	NR_030694	0.2781	-0.63272467	1110002L01Rik	NR_030694	0.9529610000000001	0.12891188	1110002L01Rik	NR_030694	0.18872026	-0.5	1110002L01Rik	NR_030694	0.204	-0.37354309999999996
44	1110002N22Rik	NM_183275	0.479	-0.50487233												
45	1110003E01Rik	BC009097	0.5863	0.46312033												
46	1110004E09Rik	NM_026502	0.7199	-0.42062	1110004E09Rik	NM_026502	0.7623880000000001	0.30338767	1110004E09Rik	NM_026502	0.08037931	0.49700000000000005	1110004E09Rik	NM_026502	0.09740000000000001	0.054313174999999964
47	1110004F10Rik	ENSMUST00000032899	0.7412	-0.30348533	1110004F10Rik	NM_019772	0.9086989999999999	-0.29240287	1110004F10Rik	NM_019772	0.03472697	0.49700000000000005	1110004F10Rik	NM_019772	0.0019	1.0495005
48	1110005A03Rik	NM_028865	0.2514	-0.98924167												
49	1110006O24Rik	NR_027810	0.9762	0.06048933	1110006O24Rik	NR_027810	0.9011549999999999	-0.12599796	1110006O24Rik	NR_027810	0.02660224	-0.753	1110006O24Rik	NM_021417	0.42700000000000005	0.3667561
50	1110007C09Rik	NM_026738	0.1566	1.59494933												
51	1110008F13Rik	NM_026124	0.2086	-0.7410140000000001	1110008F13Rik	NM_026124	0.762759	0.46339014	1110008F13Rik	NM_026124	0.03218844	0.5529999999999999	1110008F13Rik	NM_026124	0.1376	0.45974645000000003
52	1110008J03Rik	NM_133908	0.8147	0.17376633												
53	1110008L16Rik	NM_025373	0.2272	-1.544086	1110008L16Rik	NM_025373	0.789553	-0.32257387	1110008L16Rik	NM_025373	0.2734508	0.22	1110008L16Rik	NM_025373	0.6679999999999999	0.24249859999999998
54	1110008P14Rik	NM_198001	0.7061	0.62051133	1110008P14Rik	NM_198001	0.800385	-0.2321766	1110008P14Rik	NM_198001	0.60531795	0.16	1110008P14Rik	NM_198001	0.004143	1.1298034666666663
55	1110012J17Rik	NM_001114098	0.9976	-0.00224267												
56	1110012L19Rik	BC024574	0.9117	-0.272735335	1110012L19Rik	NM_026787	0.971282	0.006025854999999997	1110012L19Rik	NM_026787	0.33213025500000004	0.35350000000000004	1110012L19Rik	NM_026787	0.00309	1.3022981000000002
57	1110014N23Rik	ENSMUST00000159832	0.758	-0.21431233												
58	1110015O18Rik	NR_045272	0.8999	0.09467167									1110015O18Rik	NR_045272	0.632	0.09507410000000001
59	1110017D15Rik	NM_001048005	0.6182	0.42807167	1110017D15Rik	NM_001048005	0.924134	0.06471361	1110017D15Rik	NM_001048005	0.55675924	-0.12	1110017D15Rik	NM_001048005	0.9059999999999999	0.031684500000000004
60	1110017F19Rik	NM_001162998	0.4245	0.70220567												
61	1110018G07Rik	NM_178065	0.6261	-0.5534383350000001												
62	1110018J18Rik	ENSMUST00000021938	0.171	-1.259411												
63	1110019D14Rik	NR_045995	0.6217	-0.26979000000000003									1110019D14Rik	NR_045995	0.903	-0.0630216
64	1110020A21Rik	NR_027929	0.931	0.09993167									1110020A21Rik	NR_027929	0.042	1.4087683000000002
65	1110020C17Rik	AK003851	0.7828	0.15485133	1110020C17Rik	AK003851	0.9813280000000001	0.01947334	1110020C17Rik	AK003851	0.5417202	-0.13699999999999998	1110020C17Rik	XR_105618	0.68	-0.1834511
66	1110021J02Rik	NM_026782	0.8786	0.173209												
67	1110021L09Rik	NM_183116	0.5978	0.645483												
68	1110025L11Rik	AK003924	0.7845	0.41241467	1110025L11Rik	NM_001199334	0.982718	-0.030270599999999995	1110025L11Rik	NM_001199334	0.11886557	-0.45	1110025L11Rik	NM_001270487	0.114	-1.0278103
69	1110028F11Rik	NR_045139	0.9658	-0.036898									1110028F11Rik	NR_045139	0.32356999999999997	0.28552900000000003
70	1110028F18Rik	NR_045470	0.96	0.06068567									1110028F18Rik	NR_045470	0.6890000000000001	-0.0871741
71	1110031I02Rik	ENSMUST00000026169	0.2844	0.85230333												
72	1110032A03Rik	NM_023483	0.8595	0.441728	1110032A03Rik	XM_006510577	0.9503459999999999	0.07559065	1110032A03Rik	XM_006510577	0.63937095	0.17	1110032A03Rik	NM_023483	0.28065	-0.10694165
73	1110032A04Rik	NM_133675	0.8526	0.128108												
74	1110032F04Rik	NM_001167996	0.6478	0.26410517	1110032F04Rik	NM_001167996	0.8662709999999999	0.11182239999999999	1110032F04Rik	NM_001167996	0.00842227	0.657	1110032F04Rik	NM_001167996	0.005075	3.1058838499999997
75	1110034A24Rik	NM_027269	0.75625	-0.181044335												
76	1110034B05Rik	ENSMUST00000162686	0.1919	-1.07630167												
77	1110034G24Rik	BC100475	0.2581	-1.41222833	1110034G24Rik	ENSMUST00000061891	0.5798	-0.62962655	1110034G24Rik	ENSMUST00000061891	0.0130679	-0.7070000000000001	1110034G24Rik	NM_028637	0.531	-0.30431415
78	1110035M17Rik	NR_045780	0.5624	0.28505667												
79	1110036E04Rik	NR_040713	0.4508	-0.41621833												
80	1110037F02Rik	NM_001081183	0.1446	-1.04146933	1110037F02Rik	NM_001081183	0.7368169999999999	-0.33596604999999996	1110037F02Rik	NM_001081183	0.6102458199999999	-0.07766666666666665	1110037F02Rik	NM_001081183	0.23568850000000002	0.5815282500000001
81	1110038B12Rik	NR_027943	0.4516	-0.704006									1110038B12Rik	NR_015536	0.00885	1.7954508999999998
82	1110038D17Rik	BC043463	0.3614	-0.76027167												
83	1110038F14Rik	BC038324	0.8452	-0.165604	1110038F14Rik	ENSMUST00000071792	0.8901600000000001	-0.15753487	1110038F14Rik	ENSMUST00000071792	0.99047696	-0.0033299999999999996	1110038F14Rik	NM_054099	0.146	-0.3997195
84	1110046J04Rik	NR_040707	0.7994	-0.25030067									1110046J04Rik	NR_040707	0.0212	1.5308434
85	1110049F12Rik	ENSMUST00000105851	0.8809999999999999	0.11589533												
86	1110050K14Rik	NR_045471	0.603	0.34391267												
87	1110051M20Rik	BC089006	0.5986	-0.54216333	1110051M20Rik	NM_175123	0.561553	-0.26975534	1110051M20Rik	NM_175123	0.88810854	0.0333	1110051M20Rik	NM_175123	0.6579999999999999	0.17736870000000002
88	1110054O05Rik	NM_001013577	0.3715	-0.488379												
89	1110057K04Rik	NM_172401	0.5595	-0.73635267												
90	1110058L19Rik	NM_026503	0.1829	-0.83420633												
91	1110059E24Rik	BC023385	0.2276	-1.73680233	1110059E24Rik	ENSMUST00000038830	0.17132	-1.13566509	1110059E24Rik	ENSMUST00000038830	0.11897305	0.483	1110059E24Rik	NM_025423	0.353	0.8015977
92	1110059G10Rik	NM_025419	0.9127	-0.16066933	1110059G10Rik	NM_025419	0.9519350000000001	0.06896595	1110059G10Rik	NM_025419	0.66040459	-0.13	1110059G10Rik	NM_025419	0.0659	1.6810441999999999
93	1110059M19Rik	NM_026841	0.8741	0.10398567												
94	1110067D22Rik	NM_173752	0.8893	0.107542												
95	1190002F15Rik	NR_037956	0.9242	0.39781867												
96	1190002H23Rik	NM_025427	0.2166	1.74566267												
97	1190002N15Rik	NM_001033145	0.0718	1.81865633	1190002N15Rik	NM_001033145	0.17132	0.91430893	1190002N15Rik	NM_001033145	0.06842955	-0.44	1190002N15Rik	NM_001033145	0.2558766666666667	1.5679558333333334
