	GeneSymbol_GSM2386506_Kupper.txt	mRNA_Accession_GSM2386506_Kupper.txt	adj.P.Val_GSM2386506_Kupper.txt	logFC_GSM2386506_Kupper.txt	GeneSymbol_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	mRNA_Accession_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	adj.P.Val_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	logFC_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	GeneSymbol_GSE79858_Slansky_TIL_v_TN.txt	mRNA_Accession_GSE79858_Slansky_TIL_v_TN.txt	adj.P.Val_GSE79858_Slansky_TIL_v_TN.txt	logFC_GSE79858_Slansky_TIL_v_TN.txt	GeneSymbol_GSE_Anderson_TIL_v_Naive.txt	mRNA_Accession_GSE_Anderson_TIL_v_Naive.txt	adj.P.Val_GSE_Anderson_TIL_v_Naive.txt	logFC_GSE_Anderson_TIL_v_Naive.txt
0	0610007P14Rik	NM_021446	0.9545	-0.08954233	0610007P14Rik	NM_021446	0.43028299999999997	-1.06239436	0610007P14Rik	NM_021446	0.0296884	0.973	0610007P14Rik	NM_021446	0.0292	0.8336610000000001
1	0610009B22Rik	BC024353	0.9759	0.08280633	0610009B22Rik	NM_025319	0.680325	0.42329213	0610009B22Rik	NM_025319	0.00267613	1.43	0610009B22Rik	NM_025319	0.792	0.21772289999999997
2	0610009L18Rik	NR_038126	0.8914	0.155382	0610009L18Rik	NR_038126	0.983132	-0.02324453	0610009L18Rik	NR_038126	0.09749952	-0.363	0610009L18Rik	NR_038126	0.29	0.2542513
3	0610009O20Rik	NM_024179	0.6501	-0.25851967	0610009O20Rik	AK141675	0.583531	-0.35571139	0610009O20Rik	AK141675	0.02394254	0.46299999999999997	0610009O20Rik	NM_024179	0.00731	-1.7581333499999998
4	0610010B08Rik	NM_001177543	0.5934000000000001	-0.374874598	0610010B08Rik	NM_001099327	0.6523782	0.367777106	0610010B08Rik	NM_001099327	0.009485149999999998	0.9448666666666666	0610010B08Rik	NM_001099349	0.5858964999999999	0.6640385000000001
5	0610010F05Rik	NM_027860	0.6911	0.22259333	0610010F05Rik	NM_027860	0.653157	0.63059808	0610010F05Rik	NM_027860	0.00079705	1.25	0610010F05Rik	NM_027860	0.028265000000000002	2.13346005
6	0610010K14Rik	NM_001177601	0.3579	-0.97702067	0610010K14Rik	NM_001177601	0.7025819999999999	-0.59488965	0610010K14Rik	NM_001177601	0.04587315	0.527	0610010K14Rik	NM_001177601	0.0042699999999999995	1.7742588000000001
7	0610011F06Rik	NM_026686	0.3778	-0.66187833	0610011F06Rik	NM_026686	0.875862	0.20934069	0610011F06Rik	NM_026686	0.85013602	-0.0633	0610011F06Rik	NM_026686	0.47050000000000003	0.03410209999999998
8	0610012G03Rik	NR_027897	0.7889	-0.23229067	0610012G03Rik	NR_027897	0.8775950000000001	-0.19838244	0610012G03Rik	NR_027897	0.91359004	-0.03	0610012G03Rik	NM_025320	0.11271333333333333	0.7674688000000001
9	0610030E20Rik	NM_026696	0.35265	-0.783666	0610030E20Rik	NM_026696	0.258235	-0.63486722	0610030E20Rik	NM_026696	0.93591523	-0.0233	0610030E20Rik	NM_026696	0.0039595	-2.2502807000000002
10	0610037L13Rik	BC019215	0.3676	-0.79018467	0610037L13Rik	XM_006503438	0.964465	-0.06992796	0610037L13Rik	XM_006503438	0.88492016	0.0267	0610037L13Rik	NM_028754	0.37242	-0.34962908000000004
11	0610038B21Rik	NR_028125	0.8595	0.16124967	0610038B21Rik	NR_028125	0.899284	0.27663345	0610038B21Rik	NR_028125	0.11052182	-0.53	0610038B21Rik	NR_028125	0.24100000000000002	-0.3586917
12	0610039K10Rik	NR_028113	0.6858	0.30381433	0610039K10Rik	NR_028113	0.870025	-0.10472972	0610039K10Rik	NR_028113	0.9422315999999998	0.0267	0610039K10Rik	NR_028113	0.386	-0.3471378
13	0610040B10Rik	NR_027874	0.2416	-0.66181433	0610040B10Rik	AK144491	0.8907959999999999	0.20261284	0610040B10Rik	AK144491	0.01828061	-0.897	0610040B10Rik	NR_027874	0.1915	0.6792544
14	0610040J01Rik	BC004797	0.9075	-0.11294633	0610040J01Rik	NM_029554	0.946716	-0.03836199	0610040J01Rik	NM_029554	0.8903488000000002	-0.0233	0610040J01Rik	NM_029554	0.0845	-0.9206581
15	1110002L01Rik	NR_030694	0.2781	-0.63272467	1110002L01Rik	NR_030694	0.9529610000000001	0.12891188	1110002L01Rik	NR_030694	0.18872026	-0.5	1110002L01Rik	NR_030694	0.204	-0.37354309999999996
16	1110004E09Rik	NM_026502	0.7199	-0.42062	1110004E09Rik	NM_026502	0.7623880000000001	0.30338767	1110004E09Rik	NM_026502	0.08037931	0.49700000000000005	1110004E09Rik	NM_026502	0.09740000000000001	0.054313174999999964
17	1110004F10Rik	ENSMUST00000032899	0.7412	-0.30348533	1110004F10Rik	NM_019772	0.9086989999999999	-0.29240287	1110004F10Rik	NM_019772	0.03472697	0.49700000000000005	1110004F10Rik	NM_019772	0.0019	1.0495005
18	1110006O24Rik	NR_027810	0.9762	0.06048933	1110006O24Rik	NR_027810	0.9011549999999999	-0.12599796	1110006O24Rik	NR_027810	0.02660224	-0.753	1110006O24Rik	NM_021417	0.42700000000000005	0.3667561
19	1110008F13Rik	NM_026124	0.2086	-0.7410140000000001	1110008F13Rik	NM_026124	0.762759	0.46339014	1110008F13Rik	NM_026124	0.03218844	0.5529999999999999	1110008F13Rik	NM_026124	0.1376	0.45974645000000003
20	1110008L16Rik	NM_025373	0.2272	-1.544086	1110008L16Rik	NM_025373	0.789553	-0.32257387	1110008L16Rik	NM_025373	0.2734508	0.22	1110008L16Rik	NM_025373	0.6679999999999999	0.24249859999999998
21	1110008P14Rik	NM_198001	0.7061	0.62051133	1110008P14Rik	NM_198001	0.800385	-0.2321766	1110008P14Rik	NM_198001	0.60531795	0.16	1110008P14Rik	NM_198001	0.004143	1.1298034666666663
22	1110012L19Rik	BC024574	0.9117	-0.272735335	1110012L19Rik	NM_026787	0.971282	0.006025854999999997	1110012L19Rik	NM_026787	0.33213025500000004	0.35350000000000004	1110012L19Rik	NM_026787	0.00309	1.3022981000000002
23	1110017D15Rik	NM_001048005	0.6182	0.42807167	1110017D15Rik	NM_001048005	0.924134	0.06471361	1110017D15Rik	NM_001048005	0.55675924	-0.12	1110017D15Rik	NM_001048005	0.9059999999999999	0.031684500000000004
24	1110020C17Rik	AK003851	0.7828	0.15485133	1110020C17Rik	AK003851	0.9813280000000001	0.01947334	1110020C17Rik	AK003851	0.5417202	-0.13699999999999998	1110020C17Rik	XR_105618	0.68	-0.1834511
25	1110025L11Rik	AK003924	0.7845	0.41241467	1110025L11Rik	NM_001199334	0.982718	-0.030270599999999995	1110025L11Rik	NM_001199334	0.11886557	-0.45	1110025L11Rik	NM_001270487	0.114	-1.0278103
26	1110032A03Rik	NM_023483	0.8595	0.441728	1110032A03Rik	XM_006510577	0.9503459999999999	0.07559065	1110032A03Rik	XM_006510577	0.63937095	0.17	1110032A03Rik	NM_023483	0.28065	-0.10694165
27	1110032F04Rik	NM_001167996	0.6478	0.26410517	1110032F04Rik	NM_001167996	0.8662709999999999	0.11182239999999999	1110032F04Rik	NM_001167996	0.00842227	0.657	1110032F04Rik	NM_001167996	0.005075	3.1058838499999997
28	1110034G24Rik	BC100475	0.2581	-1.41222833	1110034G24Rik	ENSMUST00000061891	0.5798	-0.62962655	1110034G24Rik	ENSMUST00000061891	0.0130679	-0.7070000000000001	1110034G24Rik	NM_028637	0.531	-0.30431415
29	1110037F02Rik	NM_001081183	0.1446	-1.04146933	1110037F02Rik	NM_001081183	0.7368169999999999	-0.33596604999999996	1110037F02Rik	NM_001081183	0.6102458199999999	-0.07766666666666665	1110037F02Rik	NM_001081183	0.23568850000000002	0.5815282500000001
30	1110038F14Rik	BC038324	0.8452	-0.165604	1110038F14Rik	ENSMUST00000071792	0.8901600000000001	-0.15753487	1110038F14Rik	ENSMUST00000071792	0.99047696	-0.0033299999999999996	1110038F14Rik	NM_054099	0.146	-0.3997195
