ID	GeneSymbol	mRNA_Accession	adj.P.Val	P.Value	t	B	logFC	Gene.title
10359697	Xcl1	NM_008510 	0.000114	5.08E-09	49.3958677	8.67427	6.91869551	chemokine (C motif) ligand 1
10420308	Gzmb	NM_013542 	0.000114	7.82E-09	45.9400833	8.55932	6.9553337	granzyme B
10366586	Ifng	NM_008337 	0.000114	9.82E-09	44.2133445	8.4933	6.97052316	interferon gamma
10351197	Sell	NM_001164059 	0.000127	1.46E-08	-41.3598542	8.36907	-6.19352856	"selectin, lymphocyte"
10570434	Ifitm1	NM_001112715 	0.000134	1.93E-08	39.4625339	8.27424	6.89984302	interferon induced transmembrane protein 1
10493820	S100a6	NM_011313 	0.000334	5.76E-08	32.8282633	7.83914	6.47514561	S100 calcium binding protein A6 (calcyclin)
10475544	Sema6d	NM_001290997 	0.000341	6.87E-08	31.8658012	7.7588	5.77366937	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"
10548409	Klrc1	NM_001136068 	0.000382	9.11E-08	30.3859048	7.6244	7.0573738	"killer cell lectin-like receptor subfamily C, member 1"
10444589		---	0.000382	9.90E-08	29.96451	7.58351	6.8506008	
10496091	Lef1	NM_001276402 	0.000439	1.26E-07	-28.7615335	7.4598	-4.32448349	lymphoid enhancer binding factor 1
10501586	S1pr1	NM_007901 	0.000483	1.53E-07	-27.8462154	7.35819	-4.62658385	sphingosine-1-phosphate receptor 1
10475517	AA467197	NM_001004174 	0.000601	2.12E-07	26.3602635	7.17786	3.40039491	expressed sequence AA467197
10575052	Cdh1	NM_009864 	0.000601	2.25E-07	26.0933761	7.14328	3.65707999	cadherin 1
10397346	Fos	NM_010234 	0.000622	2.62E-07	25.4171566	7.05246	3.59809261	FBJ osteosarcoma oncogene
10564343	Tjp1	NM_001163574 	0.000622	2.76E-07	25.1937256	7.0214	4.67445621	tight junction protein 1
10530145	Tlr1	NM_001276445 	0.000622	2.88E-07	-25.0206151	6.99696	-4.54319917	toll-like receptor 1
10566846	Dennd5a	NM_021494 	0.000622	3.04E-07	24.7869648	6.96345	3.2006962	DENN/MADD domain containing 5A
10495243	Gstm5	NM_010360 	0.000632	3.40E-07	24.324438	6.8953	3.47897971	"glutathione S-transferase, mu 5"
10504838	Nr4a3	NM_015743 	0.000632	3.46E-07	24.2597333	6.88556	4.05332577	"nuclear receptor subfamily 4, group A, member 3"
10503334	Gem	NM_010276 	0.00068	3.91E-07	23.7575256	6.8083	4.90330814	GTP binding protein (gene overexpressed in skeletal muscle)
10399691	Id2	NM_010496 	0.000722	4.36E-07	23.3252024	6.73928	4.79140661	inhibitor of DNA binding 2
10598013	Ccr5	NM_009917 	0.000792	5.01E-07	22.7804274	6.64882	4.8740731	chemokine (C-C motif) receptor 5
10586254	Dennd4a	AK220476 	0.000811	5.37E-07	22.5198925	6.60414	3.35402632	DENN/MADD domain containing 4A
10437687	Litaf	NM_019980 	0.000885	6.29E-07	21.9193708	6.49745	3.33793887	LPS-induced TN factor
10358408	Rgs1	NM_015811 	0.000885	6.37E-07	21.8765936	6.48964	6.90815249	regulator of G-protein signaling 1
10466606	Anxa1	NM_010730 	0.000919	7.06E-07	21.4976935	6.41932	4.18283459	annexin A1
10360173	Slamf7	NM_144539 	0.000919	7.14E-07	21.4567483	6.41159	4.94090288	SLAM family member 7
10485405	Cd44	NM_001039150 	0.000958	7.72E-07	21.1746868	6.3576	3.47035861	CD44 antigen
10558769	Ifitm1	NM_001112715 	0.00101	8.43E-07	20.8591088	6.29566	5.58192338	interferon induced transmembrane protein 1
10420302	Gzmc	NM_010371 	0.00105	9.06E-07	20.6057548	6.24474	6.02532649	granzyme C
10582562		ENSMUST00000083959 	0.001068	9.52E-07	20.4320877	6.20919	4.43282436	
10368144	Tnfaip3	NM_001166402 	0.001078	9.92E-07	20.2890996	6.17953	4.11111664	"tumor necrosis factor, alpha-induced protein 3"
10469278	Il2ra	NM_008367 	0.001226	1.16E-06	19.7477309	6.0639	3.26972036	"interleukin 2 receptor, alpha chain"
10590620	Ccr9	NM_001166625 	0.001246	1.22E-06	-19.5933186	6.02992	-4.19680968	chemokine (C-C motif) receptor 9
10360070	Fcer1g	NM_010185 	0.001298	1.31E-06	19.360503	5.97783	2.5871123	"Fc receptor, IgE, high affinity I, gamma polypeptide"
10357488	Cd55	NM_010016 	0.001446	1.50E-06	-18.919088	5.87611	-3.37086124	"CD55 molecule, decay accelerating factor for complement"
10379721	Ccl4	NM_013652 	0.001545	1.64E-06	18.6195974	5.80483	3.35076056	chemokine (C-C motif) ligand 4
10421810	Rgcc///Rgcc	NM_025427 	0.001774	1.96E-06	18.065359	5.66783	2.21470676	regulator of cell cycle///regulator of cell cycle
10389231	Ccl3	NM_011337 	0.001774	1.99E-06	18.0231888	5.65713	5.40538519	chemokine (C-C motif) ligand 3
10383756	Ifitm2	XM_006544203 	0.00186	2.14E-06	17.8018426	5.60028	5.47487678	interferon induced transmembrane protein 2
10569014	Ifitm2	NM_030694 	0.002021	2.38E-06	17.4775943	5.51494	4.94337006	interferon induced transmembrane protein 2
